,username,text,is_quote_status,date,quote_count,reply_count,favorite_count,view_count,retweet_count,has_card,thumbnail_title,urls,hashtags,ticker,day,month,year,is_in_reply_to,is_view_count,quote_date,open_last,close_1_day_after,close_3_day_after,close_7_day_after
0,davidfaber,"The chance of $MSFT winning an  appeal of the negative ruling from the CMA are exceedingly slim. Per UBS, the Competition Appeal Tribunal that would hear an appeal has not ruled in favor of merging parties for years. Appeal could also take a year.Getting very close to ""all dead"". https://t.co/3bGHnuM1b7",0,2023-04-26 12:23:58+00:00,1,43,135,113387.0,19,0,,0,,MSFT,26,4,2023,0,1,2023-04-26,296.7,304.83,305.56,304.4
1,PhilipEtienne,"We love and appreciate all the volunteers at the $NVDA rescue farm - today Jensen the bull is having breakfast in the $SMCI pasture - feeding him alone is quite a job In itself - yes, the lady behind him is Colette…. https://t.co/M14QxJlxwe",0,2024-05-06 13:54:43+00:00,0,0,3,707.0,1,0,,0,,NVDA,6,5,2024,0,1,2024-05-06,893.9,905.54,887.47,903.99
2,PhilipEtienne,Today walking the lab on the NJ beach - tomorrow we go back to silicon beach - the VR/AR/XR miracle embarks - $META $NVDA https://t.co/2t1C8Vf6eR,0,2024-05-08 13:11:46+00:00,0,0,2,702.0,0,0,,0,,META,8,5,2024,0,1,2024-05-08,463.5,475.42,468.01,481.54
3,PhilipEtienne,Today walking the lab on the NJ beach - tomorrow we go back to silicon beach - the VR/AR/XR miracle embarks - $META $NVDA https://t.co/2t1C8Vf6eR,0,2024-05-08 13:11:46+00:00,0,0,2,702.0,0,0,,0,,NVDA,8,5,2024,0,1,2024-05-08,894.825,887.47,903.99,946.3
4,PhilipEtienne,Good Morning from a dog walk on the $NVDA rescue farm water spring - Kita captures the enthusiasm of another week in earnings season https://t.co/W6aZCJNLEm,0,2024-05-05 13:56:44+00:00,0,2,7,934.0,0,0,,0,,NVDA,5,5,2024,0,1,2024-05-03,877.89,921.4,921.4,898.78
5,awealthofcs,"I can't wait to cut the cord and simply subscribe to:

Netflix
Disney+
Apple TV
Prime Video
HBO Go
Starz
Showtime
Cinemax
Hulu
ESPN+
YouTube TV
Sling TV

This will finally help me reach my goal of becoming a minimalist",0,2019-03-25 18:57:24+00:00,506,442,22396,0.0,3753,0,,0,,AAPL,25,3,2019,0,0,2019-03-25,191.51,186.79,188.72,191.24
6,MorningstarInc,"$IBM is among the last quarter’s high-yielding winners.

Check out our full list of the 10 top-performing #dividendstocks of Q3 2024. https://t.co/LNuxk99HPs",0,2024-10-06 18:00:00+00:00,0,1,4,2075.0,0,1,10 Top-Performing Dividend Stocks of Q3 2024,1,dividendstocks,IBM,6,10,2024,0,1,2024-10-04,223.75,227.12,227.12,233.26
7,unusual_whales,"Nvidia, $NVDA closed at its highest price EVER today. 

It is up 186% YTD. https://t.co/m1rFMgGPnt",0,2024-10-14 20:12:47+00:00,21,107,2284,318471.0,195,0,,0,,NVDA,14,10,2024,0,1,2024-10-14,136.47,131.6,136.93,143.71
8,unusual_whales,"JUST IN: The US Biden administration is weighing capping export of chips from $AMD and Nvidia $NVDA to numerous countries, with a focus on Persian Gulf countries and the Middle East",0,2024-10-15 01:09:00+00:00,54,135,1396,328875.0,171,0,,0,,NVDA,15,10,2024,0,1,2024-10-15,137.87,135.72,138.0,143.59
9,unusual_whales,"JUST IN: The US Biden administration is weighing capping export of chips from $AMD and Nvidia $NVDA to numerous countries, with a focus on Persian Gulf countries and the Middle East",0,2024-10-15 01:09:00+00:00,54,135,1396,328875.0,171,0,,0,,NVDA,15,10,2024,0,1,2024-10-15,137.87,135.72,138.0,143.59
10,unusual_whales,"JUST IN: The US Biden administration is weighing capping export of chips from $AMD and Nvidia $NVDA to numerous countries, with a focus on Persian Gulf countries and the Middle East",0,2024-10-15 01:09:00+00:00,54,135,1396,328875.0,171,0,,0,,AMD,15,10,2024,0,1,2024-10-15,163.21,156.13,155.97,154.09
11,unusual_whales,JUST IN: Tesla $TSLA has moved $225 million of their Bitcoin to unknown wallets,0,2024-10-15 21:11:53+00:00,72,233,2672,441907.0,251,0,,0,,TSLA,15,10,2024,0,1,2024-10-15,220.01,221.33,220.7,217.97
